person_id,full_name,email,status,hire_date,termination_date,termination_type,employment_type,company_id
1,Allison Hill,donaldgarcia@example.net,Active,2024-12-21,,,Contractor,1
2,Angie Henderson,davisjesse@example.net,Active,2025-02-18,,,Full-Time,1
3,Cristian Santos,lrobinson@example.com,Active,2021-10-28,,,Contractor,1
4,Abigail Shaffer,jpeterson@example.org,Active,2025-01-09,,,Part-Time,1
5,Gabrielle Davis,howardmaurice@example.com,Active,2025-02-13,,,Full-Time,1
6,Monica Herrera,smiller@example.net,Terminated,2023-03-15,2023-04-07,Voluntary,Full-Time,1
7,Shannon Ray,williamsjeremy@example.com,Terminated,2024-03-17,2025-01-27,Voluntary,Full-Time,1
8,Dr. Sharon James,xreid@example.org,Active,2022-03-26,,,Full-Time,1
9,Daniel Adams,lynchgeorge@example.net,Active,2024-09-12,,,Full-Time,1
10,Joel Nelson,gabriellecameron@example.org,Terminated,2024-07-02,2024-09-04,Voluntary,Full-Time,1
11,Andrew Stewart,carl95@example.org,Terminated,2025-02-16,2025-06-28,Voluntary,Full-Time,1
12,Jennifer Rocha,ithomas@example.org,Active,2025-12-23,,,Part-Time,1
13,Kimberly Burgess,zhurst@example.com,Active,2023-01-16,,,Part-Time,1
14,Zachary Hicks,camposmichelle@example.org,Terminated,2024-02-18,2025-03-16,Voluntary,Part-Time,1
15,Rebecca Henderson,cruzcaitlin@example.com,Terminated,2020-11-09,2022-03-05,Voluntary,Full-Time,1
16,Tricia Valencia,frazierdanny@example.net,Active,2025-03-18,,,Full-Time,1
17,Patricia Peterson,ryan70@example.net,Active,2024-02-29,,,Full-Time,1
18,Deborah Mason,williamrodriguez@example.net,Active,2025-11-26,,,Full-Time,1
19,Mark Lynch,nathanielmartin@example.net,Active,2025-11-07,,,Full-Time,1
20,Linda Burns,hickmannatasha@example.com,Terminated,2023-01-28,2023-03-06,Involuntary,Full-Time,1
21,David Bradley,millertodd@example.org,Terminated,2024-03-12,2025-12-11,Voluntary,Contractor,1
22,Kim Martinez,karroyo@example.com,Terminated,2024-03-24,2025-12-31,Voluntary,Part-Time,1
23,Lisa Brandt,jenniferross@example.net,Terminated,2022-09-11,2025-02-04,Voluntary,Full-Time,1
24,Jessica Holmes,wrightcaleb@example.org,Active,2025-09-08,,,Full-Time,1
25,Crystal Robinson,zimmermanbrian@example.org,Terminated,2019-09-05,2023-03-16,Voluntary,Full-Time,1
26,Shannon Jones,joshuawashington@example.net,Active,2025-09-24,,,Full-Time,1
27,Timothy Duncan,esanchez@example.com,Active,2024-01-01,,,Full-Time,1
28,Brent Jordan,ujenkins@example.org,Active,2025-04-18,,,Part-Time,1
29,Victoria Garcia,zchandler@example.org,Active,2023-03-05,,,Full-Time,1
30,Connor West,dwhite@example.org,Active,2025-11-14,,,Full-Time,1
